date,price,uup,gdp,prod,vader,textblob_polarity
2019-07-25,56.02,25.99,99.92379011718185,12354.838709677419,-0.2139,0.0
2019-07-26,56.2,26.03,99.923503184919,12361.290322580646,-0.4278,0.0
2019-07-27,56.42333333333333,26.03666666666667,99.92321625265616,12367.741935483871,-0.14989999999999998,0.0
2019-07-28,56.64666666666667,26.043333333333333,99.92292932039331,12374.193548387097,0.128,0.0
2019-07-29,56.87,26.05,99.92264238813046,12380.645161290322,-0.5869,-0.15833333333333333
2019-07-30,58.05,26.05,99.9223554558676,12387.09677419355,0.42985,0.13333333333333336
2019-07-31,58.58,26.21,99.92206852360476,12393.548387096775,0.0932875,0.19627976190476187
2019-08-01,53.95,26.13,99.92178159134191,12400.0,0.1407,0.0008333333333333304
2019-08-02,55.66,26.07,99.92164780984365,12400.0,0.197875,-0.06862373737373736
2019-08-03,55.336666666666666,26.026666666666667,99.9215140283454,12400.0,0.128,0.0
2019-08-04,55.01333333333333,25.983333333333334,99.92138024684714,12400.0,0.32136666666666663,0.022727272727272724
2019-08-05,54.69,25.94,99.92124646534887,12400.0,0.4019,0.0
2019-08-06,53.63,25.97,99.92111268385062,12400.0,0.28836666666666666,-0.017424242424242422
2019-08-07,51.09,25.95,99.92097890235236,12400.0,-0.7646999999999999,-0.027992424242424256
2019-08-08,52.54,25.97,99.9208451208541,12400.0,-0.27975,-0.1353693181818182
2019-08-09,54.5,25.94,99.92071133935585,12400.0,-0.10545555555555552,0.07246873496873497
2019-08-10,54.64333333333333,25.933333333333334,99.92057755785758,12400.0,0.22222222222222227,0.21480579605579608
2019-08-11,54.78666666666667,25.92666666666667,99.92044377635933,12400.0,0.5499,0.35714285714285715
2019-08-12,54.93,25.92,99.92030999486107,12400.0,-0.13875,0.06109814664502164
2019-08-13,57.1,26.04,99.92017621336281,12400.0,-0.52535,0.0
2019-08-14,55.23,26.1,99.92004243186456,12400.0,0.009460000000000014,0.14500000000000002
2019-08-15,54.47,26.12,99.9199086503663,12400.0,-0.27993999999999997,-0.021227272727272727
2019-08-16,54.87,26.14,99.91977486886803,12400.0,0.0,-0.4
2019-08-17,55.31666666666666,26.16,99.91964108736978,12400.0,-0.13393333333333332,0.0
2019-08-18,55.763333333333335,26.18,99.91950730587152,12400.0,-0.4215,-0.15625
2019-08-19,56.21,26.2,99.91937352437326,12400.0,0.013374999999999998,0.159375
2019-08-20,56.34,26.14,99.919239742875,12400.0,0.028984615384615404,0.005716783216783223
2019-08-21,55.68,26.17,99.91910596137674,12400.0,0.25676,0.08804761904761903
2019-08-22,55.35,26.15,99.91897217987848,12400.0,0.05678,0.03902380952380953
2019-08-23,54.17,26.0,99.91883839838023,12400.0,0.25639999999999996,0.04953703703703703
2019-08-24,53.99333333333333,26.046666666666667,99.91870461688197,12400.0,-0.1531,0.0
2019-08-25,53.81666666666667,26.093333333333334,99.91857083538372,12400.0,0.6124,0.16666666666666666
2019-08-26,53.64,26.14,99.91843705388546,12400.0,0.16773333333333332,0.19286616161616163
2019-08-27,54.93,26.12,99.91830327238719,12400.0,-0.20195,-0.01887626262626263
2019-08-28,55.78,26.18,99.91816949088894,12400.0,0.2107818181818182,0.02727272727272728
2019-08-29,56.71,26.24,99.91803570939068,12400.0,0.10765,-0.1625
2019-08-30,55.1,26.34,99.91790192789242,12400.0,0.01417142857142857,0.06191499543540361
2019-08-31,54.81,26.355,99.91776814639417,12400.0,-0.35211428571428577,0.030957497717701805
2019-09-01,54.519999999999996,26.369999999999997,99.9176343648959,12400.0,-0.7184,0.0
2019-09-02,54.23,26.384999999999998,99.91765186425157,12406.666666666666,0.58805,0.5
2019-09-03,53.94,26.4,99.91766936360725,12413.333333333334,-0.0037499999999999756,0.125
2019-09-04,56.26,26.23,99.91768686296291,12420.0,0.2893333333333334,0.06861111111111111
2019-09-05,56.3,26.24,99.91770436231859,12426.666666666666,-0.042499999999999996,0.12345454545454546
2019-09-06,56.52,26.25,99.91772186167425,12433.333333333334,-0.005377777777777747,0.14981481481481485
2019-09-07,56.96333333333334,26.236666666666668,99.91773936102993,12440.0,-0.5622,-0.05833333333333331
2019-09-08,57.406666666666666,26.223333333333333,99.9177568603856,12446.666666666666,-0.24695,-0.25
2019-09-09,57.85,26.21,99.91777435974126,12453.333333333334,0.127,0.0
2019-09-10,57.4,26.23,99.91779185909694,12460.0,0.05073333333333333,0.05000000000000001
2019-09-11,55.75,26.31,99.9178093584526,12466.666666666666,0.05210000000000002,0.21998106060606062
2019-09-12,55.09,26.23,99.91782685780828,12473.333333333334,0.17435714285714285,0.1698670377241806
2019-09-13,54.85,26.2,99.91784435716394,12480.0,0.13011250000000002,0.22531960227272724
2019-09-14,57.53333333333333,26.236666666666665,99.91786185651962,12486.666666666666,-0.12215555555555555,-0.10576131687242799
2019-09-15,60.21666666666667,26.273333333333333,99.91787935587529,12493.333333333334,-0.12688000000000002,0.06666666666666667
2019-09-16,62.9,26.31,99.91789685523096,12500.0,-0.21410588235294117,-0.028709893048128345
2019-09-17,59.34,26.2,99.91791435458663,12506.666666666666,0.12531428571428574,0.1758116883116883
2019-09-18,58.11,26.29,99.91793185394229,12513.333333333334,-0.03710000000000002,-0.375
2019-09-19,58.13,26.23,99.91794935329797,12520.0,0.13791249999999994,0.06722808441558442
2019-09-20,58.09,26.3,99.91796685265363,12526.666666666666,-0.14901428571428577,0.04287698412698414
2019-09-21,58.27333333333333,26.313333333333333,99.91798435200931,12533.333333333334,0.38075000000000003,0.675
2019-09-22,58.45666666666667,26.326666666666668,99.91800185136498,12540.0,0.05103333333333334,0.08333333333333333
2019-09-23,58.64,26.34,99.91801935072066,12546.666666666666,-0.3975666666666667,0.044722222222222226
2019-09-24,57.29,26.24,99.91803685007632,12553.333333333334,-0.167575,-0.034375
2019-09-25,56.49,26.45,99.91805434943198,12560.0,0.43895999999999996,0.16017045454545453
2019-09-26,56.41,26.52,99.91807184878766,12566.666666666666,-0.38122,0.138763986013986
2019-09-27,55.91,26.48,99.91808934814333,12573.333333333334,0.32230000000000003,0.21931818181818183
2019-09-28,55.29666666666667,26.51,99.918106847499,12580.0,0.49285,0.18644480519480522
2019-09-29,54.68333333333333,26.54,99.91812434685467,12586.666666666666,0.6634,0.1535714285714286
2019-09-30,54.07,26.57,99.91814184621035,12593.333333333334,-0.087125,0.03733333333333333
2019-10-01,53.62,26.48,99.91815934556601,12600.0,0.04576666666666667,0.12496632996632998
2019-10-02,52.64,26.46,99.91834330728268,12609.677419354839,-0.21943333333333337,-0.1261111111111111
2019-10-03,52.45,26.45,99.91852726899936,12619.354838709678,-0.45515,0.0
2019-10-04,52.81,26.43,99.91871123071603,12629.032258064517,0.31628571428571434,0.12767857142857142
2019-10-05,52.79,26.446666666666665,99.9188951924327,12638.709677419354,-0.09534999999999999,-0.2431818181818181
2019-10-06,52.77,26.463333333333335,99.91907915414937,12648.387096774193,0.2732,0.0
2019-10-07,52.75,26.48,99.91926311586603,12658.064516129032,-0.19074000000000005,0.17431818181818182
2019-10-08,52.63,26.52,99.9194470775827,12667.741935483871,0.20133333333333334,0.19751984126984126
2019-10-09,52.59,26.5,99.91963103929938,12677.41935483871,0.18740666666666667,0.13194444444444448
2019-10-10,53.55,26.39,99.91981500101605,12687.09677419355,0.09790000000000001,0.09102693602693603
2019-10-11,54.7,26.29,99.91999896273272,12696.774193548386,0.23555200000000004,0.11071151996151997
2019-10-12,54.330000000000005,26.316666666666666,99.92018292444939,12706.451612903225,-0.1237166666666667,-0.08611111111111112
2019-10-13,53.96,26.343333333333334,99.92036688616606,12716.129032258064,0.1786,0.05454545454545455
2019-10-14,53.59,26.37,99.92055084788274,12725.806451612903,0.2217615384615384,0.08257289007289006
2019-10-15,52.81,26.29,99.92073480959941,12735.483870967742,0.18818,0.05855555555555554
2019-10-16,53.36,26.22,99.92091877131608,12745.161290322581,0.19277777777777777,0.032539682539682535
2019-10-17,53.93,26.13,99.92110273303274,12754.838709677419,0.3778000000000001,0.1164802414021164
2019-10-18,53.78,26.03,99.92128669474941,12764.516129032258,0.07748888888888887,0.16149290524290524
2019-10-19,53.623333333333335,26.03666666666667,99.92147065646608,12774.193548387097,-0.5842,0.0
